PROVIDER_NUMBER,FYB,FYE,STATUS,C000001_20000_00500,C000001_20000_00600,C000001_20000_00700
010001,01-OCT-13,30-SEP-14,As Submitted,234719962,676190584,617727387
010005,01-OCT-13,30-SEP-14,Settled,107925267,119946209,268059728
010006,01-JUL-14,30-JUN-15,Amended,123964445,437884534,338299448
010007,01-OCT-13,30-SEP-14,As Submitted,14657928,18774097,26355112
010008,01-JAN-14,31-DEC-14,As Submitted,11949042,17299503,17775761
010011,01-JUL-14,30-JUN-15,Amended,189549484,588659691,483776585
010012,01-APR-14,31-MAR-15,Settled,41774612,121277008,218414529
010016,01-JAN-14,31-DEC-14,Settled,137781938,501027413,358167829
010018,01-OCT-13,30-SEP-14,Settled,26011599,1249043,109482914
010019,01-OCT-13,30-SEP-14,Settled,79793723,131354958,241828204
010021,01-OCT-13,30-SEP-14,Settled,25816474,28275377,58301674
010022,01-APR-14,31-MAR-15,Settled,11154311,17331296,52838003
010023,01-JUL-14,30-JUN-15,Amended,334798897,674012655,637026302
010024,01-JAN-14,31-DEC-14,Settled,148552308,423111043,300891314
010029,01-OCT-13,30-SEP-14,Amended,235491801,241310460,341542071
010032,01-OCT-13,30-SEP-14,Settled,6161670,5985567,15851942
010033,01-OCT-13,30-SEP-14,As Submitted,1087007481,3253259674,1907202876
010034,01-OCT-13,30-SEP-14,Settled,17344892,16614663,24576804
010035,01-JUL-14,30-JUN-15,As Submitted,91818727,176162874,223698181
010036,01-APR-14,31-MAR-15,As Submitted,29434781,77249545,99537694
010038,01-JUL-14,30-JUN-15,Settled,47201734,130399238,316778973
010039,01-JUL-14,30-JUN-15,Amended,690582078,2196175949,2050789822
010040,01-OCT-13,30-SEP-14,As Submitted,150725080,1118202696,811179562
010044,01-OCT-13,30-SEP-14,Settled,17243157,15495385,34367042
010045,01-OCT-13,30-SEP-14,Settled,22600912,30041289,47216694
010046,01-JUL-14,28-FEB-15,Amended,60374419,338156174,322883227
010047,01-JAN-14,31-DEC-14,Settled,6838089,3592717,9086064
010049,01-JAN-14,31-DEC-14,Amended,39787291,115338623,287665975
010051,01-OCT-13,30-SEP-14,Settled,11135121,7453514,9059162
010052,01-JAN-14,31-DEC-14,Settled,14041077,3362194,17095629
010055,01-JUL-14,30-SEP-14,Settled,39514785,140615405,176832110
010056,01-JUL-14,30-JUN-15,Amended,345318492,748052935,1017091982
010058,01-OCT-13,30-SEP-14,Settled,15538713,14818939,12035570
010059,01-OCT-13,30-SEP-14,Settled,13595831,12103520,27689286
010061,01-OCT-13,30-SEP-14,Settled,48310471,43543393,63986188
010062,01-OCT-13,30-SEP-14,Settled,17393094,16884739,15295676
010065,01-JAN-14,31-DEC-14,As Submitted,58973898,44440139,130707460
010069,01-OCT-13,30-SEP-14,Settled,15509979,23914414,40148614
010073,01-OCT-13,30-SEP-14,Settled,16263141,13940491,13482021
010078,01-JUL-14,30-JUN-15,Amended,141878295,467017577,520078060
010079,01-JUL-14,30-JUN-15,Amended,48533530,74874840,140794855
010083,01-OCT-13,30-SEP-14,Settled,73520864,307774039,414564352
010085,01-APR-14,31-MAR-15,As Submitted,99380766,181369901,230329633
010086,01-MAY-14,31-DEC-14,As Submitted,13598531,27750481,47416128
010087,01-OCT-13,30-SEP-14,Amended,124355755,184558342,148372747
010089,01-JAN-14,31-DEC-14,Settled,84072219,188124305,222003280
010090,01-JUL-14,30-JUN-15,As Submitted,191343715,421397085,386377556
010091,01-JUL-14,30-JUN-15,As Submitted,13596381,13883344,29877264
010092,01-OCT-13,30-SEP-14,Amended,396758101,979000851,747537306
010095,01-OCT-13,30-SEP-14,Settled,7894879,3174292,11172726
010097,01-JAN-14,31-DEC-14,Settled,11937872,6060069,21510262
010099,01-OCT-13,30-SEP-14,As Submitted,25919106,18510886,56787259
010100,01-APR-14,31-MAR-15,Amended,117662132,198987178,275356551
010101,01-JAN-14,31-DEC-14,Settled,32579089,50378287,99831761
010102,01-OCT-13,30-SEP-14,Settled,3976132,1202671,7164802
010103,01-JAN-14,31-DEC-14,Amended,192396122,841959567,474029407
010104,01-JUL-14,30-JUN-15,As Submitted,179966315,902540555,792148778
010108,01-JUL-14,30-JUN-15,Amended,34513986,67457029,129483954
010109,01-OCT-13,30-SEP-14,As Submitted,14687205,10332679,22887882
010110,01-JAN-14,31-DEC-14,As Submitted,11454119,23721683,18942577
010112,01-OCT-13,30-SEP-14,As Submitted,23864089,25577622,30844027
010113,01-APR-14,31-MAR-15,As Submitted,310162385,731017352,351959805
010114,01-JAN-14,31-DEC-14,As Submitted,79301371,230785662,262614693
010118,01-JUL-14,30-JUN-15,Amended,52088740,167610458,211080399
010120,01-OCT-13,30-SEP-14,As Submitted,19496476,11510627,57687691
010125,01-MAY-14,31-DEC-14,As Submitted,9638034,19188785,19734381
010126,01-JAN-14,31-DEC-14,Settled,22238040,38079501,86226903
010128,01-JAN-14,31-DEC-14,Settled,8266884,4674299,17311858
010129,01-APR-14,31-MAR-15,As Submitted,22752590,25114464,41241650
010130,01-JUL-14,30-JUN-15,As Submitted,27953408,42998771,138990359
010131,01-JUL-14,30-JUN-15,As Submitted,144979525,711630765,794250212
010138,01-JAN-14,31-DEC-14,Settled,3482184,3823063,4468226
010139,01-JAN-14,31-DEC-14,Amended,316207652,1988533558,1268502309
010144,01-JAN-14,31-DEC-14,Settled,140577588,265054455,274937627
010146,01-OCT-13,24-SEP-14,As Submitted,18578103,31739751,98738790
010146,25-SEP-14,30-SEP-15,As Submitted,15398242,26207383,80227535
010148,01-JAN-14,31-DEC-14,Settled,12090919,12815163,17928747
010149,01-JUL-14,30-JUN-15,Amended,100160797,252479689,231253522
010150,01-FEB-14,31-JAN-15,Amended,19377407,60655807,83430104
010157,01-APR-14,31-MAR-15,As Submitted,33373080,74483716,83611066
010158,01-JAN-14,31-DEC-14,Settled,22642607,46235036,64143452
010164,01-AUG-14,31-JUL-15,As Submitted,53993082,111853027,179130459
010168,01-JAN-14,31-DEC-14,Settled,38217566,89738994,44557829
010169,01-OCT-13,30-SEP-14,Settled,16448233,27143621,63560681
011300,01-OCT-13,30-SEP-14,Settled,10716663,7801821,7249039
011302,01-OCT-13,30-SEP-14,Settled,,7557325,15381588
011304,01-JAN-14,31-DEC-14,As Submitted,,5736920,20752682
011305,01-JUL-14,30-JUN-15,As Submitted,,20931578,76106723
012006,01-APR-14,31-MAR-15,Settled,12463136,22719315,67923
012007,01-JUL-14,31-MAR-15,As Submitted,6878354,18089596,
012008,01-SEP-14,31-AUG-15,As Submitted,13971798,52385370,
012009,01-JUL-14,31-MAR-15,As Submitted,7400368,21829041,
012010,01-OCT-13,30-SEP-14,Settled,10432306,32660566,
012011,01-FEB-14,31-JAN-15,Settled,8955238,31761588,5089
012012,01-APR-14,31-JAN-15,Settled,7968987,28346423,
012013,01-FEB-14,31-JAN-15,Settled,4531716,18078125,
013025,01-JAN-14,31-DEC-14,Settled,30757597,62149291,1994090
013027,01-JAN-14,30-DEC-14,Settled,13909986,15816308,
013028,01-JAN-14,31-DEC-14,Settled,19958588,44252950,1070667
013029,01-JUN-14,31-MAY-15,Amended,18493756,52208992,281660
013030,01-JAN-14,31-DEC-14,Settled,14971248,27819369,203565
013032,01-JAN-14,31-DEC-14,Settled,11963743,24670651,257419
013033,01-JUN-14,31-MAY-15,Amended,15680782,29716216,879273
013300,01-JAN-14,31-DEC-14,As Submitted,,974724534,450680977
013301,01-OCT-13,30-SEP-14,As Submitted,,164052435,40422235
014000,01-JUL-14,30-JUN-15,Settled,19034914,44335741,33627
014006,01-JAN-14,31-DEC-14,As Submitted,6978295,13365281,551290
014007,01-JUL-14,30-JUN-15,Settled,20746488,24267891,
014009,01-OCT-13,30-SEP-14,Settled,12383017,12767905,
014012,01-OCT-13,30-SEP-14,Settled,20161577,17021600,63467
014014,01-OCT-13,30-SEP-14,Settled,8085389,6139972,
014016,01-JUL-14,30-JUN-15,Settled,4158681,8936115,
014017,01-OCT-13,30-SEP-14,Settled,12105096,7037033,
014018,01-JAN-14,31-DEC-14,Settled,3047133,4899188,
020001,01-JAN-14,31-DEC-14,As Submitted,472509345,1239972311,594872484
020006,01-JAN-14,31-DEC-14,Settled,86498909,198526127,207347096
020008,01-JUL-14,30-JUN-15,As Submitted,59681254,55954079,62478148
020012,01-JAN-14,31-DEC-14,Settled,213199227,172605429,236192726
020017,01-JAN-14,31-DEC-14,As Submitted,150681521,442072853,215390912
020018,01-OCT-13,30-SEP-14,Settled,72651573,112160,738397
020024,01-JUL-14,30-JUN-15,As Submitted,107956870,109146941,140398147
020026,01-OCT-13,30-SEP-14,As Submitted,280195654,664981,3318383
