PROVIDER_NUMBER,FYB,FYE,STATUS,CTRL_TYPE,hosp_Name,Street_Addr,Po_Box,City,State,Zip_Code,County
010001,01-OCT-15,30-SEP-16,As Submitted,9,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,6987,DOTHAN,AL,36301,HOUSTON
010005,01-OCT-15,30-SEP-16,As Submitted,9,MARSHALL MEDICAL CENTER - SOUTH,2505 U.S. HIGHWAY 431,,BOAZ,AL,35957-,MARSHALL
010006,01-JUL-15,30-JUN-16,As Submitted,4,ELIZA COFFEE MEMORIAL HOSPITAL,205 MARENGO STREET,818,FLORENCE,AL,35630,LAUDERDALE
010007,01-OCT-15,30-SEP-16,As Submitted,9,MIZELL MEMORIAL HOSPITAL,702 MAIN STREET,429,OPP,AL,36462-,COVINGTON
010008,01-JAN-15,31-DEC-15,As Submitted,4,CRENSHAW COMMUNITY HOSPITAL,CRENSHAW COMMUNITY HOSPITAL,101 HOSPITAL CIRCLE,LUVERNE,AL,36049,CRENSHAW
010009,01-FEB-11,31-JAN-12,Reopened,4,HARTSELLE MEDICAL CENTER,201 PINE STREET NW,,HARTSELLE,AL,35640-,MORGAN
010010,01-OCT-10,30-SEP-11,As Submitted,9,MARSHALL MEDICAL CENTER - NORTH,8000 ALABAMA HIGHWAY 69,,GUNTERSVILLE,AL,35976-,MARSHALL
010011,01-JUL-15,30-JUN-16,As Submitted,1,ST. VINCENTS EAST,50 MEDICAL PARK DRIVE EAST,,BIRMINGHAM,AL,35235-,JEFFERSON
010012,01-APR-15,31-MAR-16,As Submitted,4,DEKALB REGIONAL MEDICAL CENTER,200 MEDICAL CENTER DRIVE,,FORT PAYNE,AL,35967,DEKALB
010015,01-APR-11,15-AUG-11,Settled,5,SOUTHWEST ALABAMA MEDICAL CENTER,33400 HIGHWAY 43 NORTH,,THOMASVILLE,AL,36784-,CLARKE
010016,03-OCT-15,31-DEC-15,As Submitted,1,SHELBY BAPTIST MEDICAL CENTER,1000 FIRST STREET NORTH,,ALABASTER,AL,35007,SHELBY
010018,01-OCT-15,30-SEP-16,As Submitted,2,CALLAHAN EYE FOUNDATION HOSP,1720 UNIVERSITY BOULEVARD,,BIRMINGHAM,AL,35233-,JEFFERSON
010019,01-OCT-15,30-SEP-16,As Submitted,9,HELEN KELLER HOSPITAL,1300 SOUTH MONTGOMERY AVENUE,610,SHEFFIELD,AL,35660-,COLBERT
010021,01-OCT-15,30-SEP-16,As Submitted,9,DALE MEDICAL CENTER,126 HOSPITAL,,OZARK,AL,36360-,DALE
010022,01-APR-15,31-MAR-16,As Submitted,4,CHEROKEE MEDICAL CENTER,100 NORTHWOOD DRIVE,,CENTRE,AL,35960-,CHEROKEE
010023,01-JUL-15,30-JUN-16,As Submitted,11,BAPTIST MEDICAL CENTER SOUTH,2105  EAST SOUTH BOULEVARD,11010,MONTGOMERY,AL,36116-,MONTGOMERY
010024,01-JAN-15,31-DEC-15,As Submitted,2,JACKSON HOSPITAL AND CLINIC  INC,1725 PINE STREET,,MONTGOMERY,AL,36106-1109,MONTGOMERY
010025,01-JUL-13,31-JAN-14,Settled,2,GEORGE H. LANIER HOSPITAL,4800 48TH STREET,,VALLEY,AL,36854,CHAMBERS
010027,01-JUL-12,04-FEB-13,As Submitted,12,ELBA GENERAL HOSPITAL,987 DRAYTON STREET,,ELBA,AL,35323,COFFEE
010029,01-OCT-15,30-SEP-16,As Submitted,2,EAST ALABAMA MEDICAL CENTER,2000 PEPPERELL PKWY,,OPELIKA,AL,36802-,LEE
010032,01-OCT-15,30-SEP-16,As Submitted,9,WEDOWEE HOSPITAL,301 NORTH MAIN STREET,,WEDOWEE,AL,36278,RANDOLPH
010033,01-OCT-15,30-SEP-16,As Submitted,10,UNIVERSITY OF ALABAMA HOSPITAL,619 SOUTH 19TH STREET,,BIRMINGHAM,AL,35233,JEFFERSON
010034,01-OCT-15,30-SEP-16,As Submitted,2,COMMUNITY HOSPITAL INC.,805 FRIENDSHIP DRIVE,,TALLASSEE,AL,36078,ELMORE
010035,01-JUL-15,30-JUN-16,As Submitted,9,CULLMAN REGIONAL,1912 ALABAMA HIGHWAY 157,,CULLMAN,AL,35056,CULLMAN
010036,01-APR-15,31-MAR-16,As Submitted,4,ANDALUSIA REGIONAL HOSPITAL,849 THREE NOTCH STREET,,ANDALUSIA,AL,36420,COVINGTON
010038,01-JUL-15,30-JUN-16,As Submitted,4,STRINGFELLOW MEMORIAL HOSPITAL,301 EAST 18TH STREET,38,ANNISTON,AL,36207,CALHOUN
010039,01-JUL-15,30-JUN-16,As Submitted,13,HUNTSVILLE HOSPITAL,101 SIVLEY ROAD,,HUNTSVILLE,AL,35801-,MADISON
010040,01-OCT-15,30-SEP-16,As Submitted,4,GADSDEN REGIONAL MEDICAL CENTER,1007 GOODYEAR AVENUE,,GADSDEN,AL,35999,ETOWAH
010043,01-JUL-11,30-JUN-12,Reopened,4,CHILTON MEDICAL CENTER,1010 LAY DAM ROAD,,CLANTON,AL,35045-,CHILTON
010044,01-OCT-15,30-SEP-16,As Submitted,2,MARION REGIONAL MEDICAL CENTER,1256 MILITARY ST SOUTH,,HAMILTON,AL,35570-,MARION
010045,01-OCT-15,30-SEP-16,As Submitted,13,FAYETTE MEDICAL CENTER,1653 TEMPLE AVENUE NORTH,,FAYETTE,AL,35555-,FAYETTE
010046,01-MAR-15,31-DEC-15,As Submitted,4,RIVERVIEW REGIONAL MEDICAL CENTER,600 S 3RD STREET,,GADSDEN,AL,35901,ETOWAH
010047,01-JAN-15,31-DEC-15,As Submitted,4,GEORGIANA HOSPITAL,515 MIRANDA STREET,,GEORGIANA,AL,36033,BUTLER
010049,01-JAN-15,31-DEC-15,As Submitted,4,MEDICAL CENTER ENTERPRISE,400 NORTH EDWARDS STREET,,ENTERPRISE,AL,36330-,COFFEE
010050,01-JUL-12,19-JUN-13,Settled,1,ST. VINCENTS BLOUNT,150 GILBREATH DRIVE,1000,ONEONTA,AL,35121-,BLOUNT
010051,01-OCT-15,30-SEP-16,As Submitted,9,GREENE COUNTY HOSPITAL,509 WILSON AVENUE,,EUTAW,AL,35462,GREENE
010052,01-JAN-15,31-DEC-15,As Submitted,5,LAKE MARTIN COMMUNITY HOSPITAL,1231 SOUTH STREET,,DADEVILLE,AL,36853,TALLAPOOSA
010054,01-JAN-13,31-DEC-13,Settled,8,PARKWAY MEDICAL CENTER,1874 BELTLINE ROAD S.W.,,DECATUR,AL,35601,MORGAN
010055,01-OCT-15,30-SEP-16,As Submitted,4,FLOWERS HOSPITAL,4370 WEST MAIN STREET,6907,DOTHAN,AL,36302-,HOUSTON
010056,01-JUL-15,30-JUN-16,As Submitted,1,ST VINCENTS BIRMINGHAM,810 ST VINCENTS DRIVE,,BIRMINGHAM,AL,35205-,JEFFERSON
