PROVIDER_NUMBER,FYB,FYE,STATUS,HOSPITAL_Name,Street_Addr,Po_BOx,City,State,Zip_Code,County,IME1,IME2,IME3,DSH1,DSH2,DSH3,DSH_SHARE_PERCENTAGE,GME_PART_A,GME_PART_B,TOTAL_HOSPITAL_BEDS,TOTAL_HOSPITAL_BED_DAYS_AVAILABLE,TOTAL_HOSPITAL_MEDICARE_DAYS,TOTAL_HOSPITAL_MEDICAID_DAYS,TOTAL_HOSPITAL_DAYS,INTERNS_AND_RESIDENTS,TOTAL_HOSPITAL_EMPLOYEES_ON_PAYROL,TOTAL_HOSPITAL_NON_PAID_WORKERS,TOTAL_HOSPITAL_MEDICARE_DISCHARGES,TOTAL_HOSPITAL_MEDICAID_DISCHARGES,TOTAL_HOSPITAL_DISCHARGES,MEDICAID_HMO_DISCHARGES,MEDICAID_HMO_IPF_SUBPROVIDER,MEDICAID_HMO_IRF_SUBPROVIDER,MEDICAID_IPF_SUBPROVIDER,MEDICAID_IRF_SUBPROVIDER,TOTAL_DISCHARGES_SUBPROVIDER_IPF,TOTAL_DISCHARGES_SUBPROVIDER_IRF
010001,01-OCT-11,30-SEP-12,Amended,SOUTHEAST ALABAMA MEDICAL CENTER        ,1108 ROSS CLARK CIRCLE                  ,6987                                    ,DOTHAN                                  ,AL                                      ,36301                                   ,HOUSTON                                 ,,,,8633626,,,.1498,,,408,149328,42785,15986,87760,,2160.6,,7790,3931,17435,,,,,,215,
010005,01-OCT-11,30-SEP-12,Settled,MARSHALL MEDICAL CENTER - SOUTH         ,2505 U.S. HIGHWAY 431                   ,,BOAZ                                    ,AL                                      ,35957-                                  ,MARSHALL                                ,,,,2776018,,,.1203,,,204,74664,17787,6167,36415,,1056.02,,3797,1291,9168,,,,,,,
010006,01-JUL-12,30-JUN-13,Settled,ELIZA COFFEE MEMORIAL HOSPITAL          ,205 MARENGO STREET                      ,818                                     ,FLORENCE                                ,AL                                      ,35630                                   ,LAUDERDALE                              ,,,,3428140,,,.0932,,,358,130670,28599,7909,52665,,968.53,,5039,1765,10862,,,,,,,
010007,01-OCT-11,30-SEP-12,As Submitted,MIZELL MEMORIAL HOSPITAL                ,702 MAIN STREET                         ,429                                     ,OPP                                     ,AL                                      ,36462-                                  ,COVINGTON                               ,,,,207834,,,.0596,,,78,28548,4122,619,5867,,153.45,,819,133,1302,,,,,,262,
010008,01-JAN-12,31-DEC-12,Amended,CRENSHAW COMMUNITY HOSPITAL             ,CRENSHAW COMMUNITY HOSPITAL             ,101 HOSPITAL CIRCLE                     ,LUVERNE                                 ,AL                                      ,36049                                   ,CRENSHAW                                ,,,,287870,,,.1713,,,29,10614,1764,668,3240,,106.7,,374,166,744,,,,104,,540,
010011,01-JUL-12,30-JUN-13,Amended,ST. VINCENTS EAST                       ,50 MEDICAL PARK DRIVE EAST              ,,BIRMINGHAM                              ,AL                                      ,35235-                                  ,JEFFERSON                               ,1670142,,,2023583,,,.0612,787021,229995,279,101835,23284,10013,75795,14.66,1101.24,,4117,1683,14380,,,,27,4,421,232
010012,01-APR-12,31-MAR-13,Settled,DEKALB REGIONAL MEDICAL CENTER          ,200 MEDICAL CENTER DRIVE                ,,FORT PAYNE                              ,AL                                      ,35967                                   ,DEKALB                                  ,,,,928833,,,.12,,,97,35405,5771,2818,13469,,371.5,,1416,844,3758,,,,11,,332,
010016,01-JAN-12,31-DEC-12,Settled,SHELBY BAPTIST MEDICAL CENTER           ,1000 FIRST STREET NORTH                 ,,ALABASTER                               ,AL                                      ,35007                                   ,SHELBY                                  ,,,,2216102,,,.0882,,,193,70572,17256,8645,52461,,822.97,,3364,2094,10594,,,,,,,
010018,01-OCT-11,30-SEP-12,As Submitted,CALLAHAN EYE FOUNDATION HOSP            ,1720 UNIVERSITY BOULEVARD               ,,BIRMINGHAM                              ,AL                                      ,35233-                                  ,JEFFERSON                               ,55065,,,,,,,30907,491552,12,4392,73,16,117,7,146,,23,3,85,,,,,,,
010019,01-OCT-11,30-SEP-12,Settled,HELEN KELLER HOSPITAL                   ,1300 SOUTH MONTGOMERY AVENUE            ,610                                     ,SHEFFIELD                               ,AL                                      ,35660-                                  ,COLBERT                                 ,,,,2402331,,,.1381,,,185,67710,14171,6819,29534,,591.67,,2950,1530,7044,,,,,,,
010021,01-OCT-11,30-SEP-12,Settled,DALE MEDICAL CENTER                     ,126 HOSPITAL                            ,,OZARK                                   ,AL                                      ,36360-                                  ,DALE                                    ,,,,477348,,,.12,,,77,28182,3536,1624,7810,,270.02,,760,376,1973,,,,,,368,
010022,01-APR-12,31-MAR-13,Settled,CHEROKEE MEDICAL CENTER                 ,100 NORTHWOOD DRIVE                     ,,CENTRE                                  ,AL                                      ,35960-                                  ,CHEROKEE                                ,,,,198467,,,.1108,,,45,16425,2735,383,3830,,107.62,,386,114,759,,,,,,,
010023,01-JUL-12,30-JUN-13,Settled,BAPTIST MEDICAL CENTER SOUTH            ,2105  EAST SOUTH BOULEVARD              ,11010                                   ,MONTGOMERY                              ,AL                                      ,36116-                                  ,MONTGOMERY                              ,2831573,,,11055136,,,.2591,444188,517814,363,132495,24504,27050,83797,42.15,1963.6,,5124,3837,16789,,,,547,,1923,
010024,01-JAN-12,31-DEC-12,Settled,JACKSON HOSPITAL AND CLINIC  INC        ,1725 PINE STREET                        ,,MONTGOMERY                              ,AL                                      ,36106-1109                              ,MONTGOMERY                              ,,,,4447886,,,.1244,,,255,93330,26523,10905,63984,,1223.79,,4926,2890,14474,,,,,,,
010025,01-JUL-12,30-JUN-13,Settled,GEORGE H. LANIER HOSPITAL               ,4800 48TH STREET                        ,,VALLEY                                  ,AL                                      ,36854                                   ,CHAMBERS                                ,,,,1276420,,,.1832,,,84,30660,8038,3096,15163,,336.82,,1106,511,2718,,,,,,,
010027,01-JUL-12,04-FEB-13,As Submitted,ELBA GENERAL HOSPITAL                   ,987 DRAYTON STREET                      ,,ELBA                                    ,AL                                      ,35323                                   ,COFFEE                                  ,,,,12764,,,.1204,,,20,4380,99,16,164,,89.4,,28,7,46,,,,,,,
010029,01-OCT-11,30-SEP-12,Settled,EAST ALABAMA MEDICAL CENTER             ,2000 PEPPERELL PKWY                     ,,OPELIKA                                 ,AL                                      ,36802-                                  ,LEE                                     ,,,,5189715,,,.1212,,,258,94428,28498,12099,62347,,1905.29,,5266,2243,15507,,,,,,,
010032,01-OCT-11,30-SEP-12,Settled,WEDOWEE HOSPITAL                        ,301 NORTH MAIN STREET                   ,,WEDOWEE                                 ,AL                                      ,36278                                   ,RANDOLPH                                ,,,,175605,,,.12,,,34,12444,1367,343,2365,,79.45,,383,99,723,,,,,,,
010033,01-OCT-11,30-SEP-12,As Submitted,UNIVERSITY OF ALABAMA HOSPITAL          ,619 SOUTH 19TH STREET                   ,,BIRMINGHAM                              ,AL                                      ,35233                                   ,JEFFERSON                               ,22099323,,,25413478,,,.222,6827922,1712927,997,364902,69343,80308,276544,537.62,7053,,12027,9832,42199,,,,,,2337,959
010034,01-OCT-11,30-SEP-12,As Submitted,COMMUNITY HOSPITAL INC.                 ,805 FRIENDSHIP DRIVE                    ,,TALLASSEE                               ,AL                                      ,36078                                   ,ELMORE                                  ,,,,277447,,,.0699,,,37,13505,3329,689,6326,,231.94,,701,175,1532,,,,1,,191,
010035,01-JUL-12,30-JUN-13,Settled,CULLMAN REGIONAL                        ,1912 ALABAMA HIGHWAY 157                ,,CULLMAN                                 ,AL                                      ,35056                                   ,CULLMAN                                 ,,,,2121890,114655,,.1085,,,115,41975,12246,3131,21304,,783.28,,2992,1541,6568,,,,,,,
010036,01-APR-12,31-MAR-13,Settled,ANDALUSIA REGIONAL HOSPITAL             ,849 THREE NOTCH STREET                  ,,ANDALUSIA                               ,AL                                      ,36420                                   ,COVINGTON                               ,,,,1354337,,,.1882,,,88,32120,5499,2483,10410,,241.72,,1383,670,2999,,,,,,,4
010038,01-JUL-12,30-JUN-13,Reopened,STRINGFELLOW MEMORIAL HOSPITAL          ,301 EAST 18TH STREET                    ,38                                      ,ANNISTON                                ,AL                                      ,36207                                   ,CALHOUN                                 ,,,,934736,,,.0948,,,125,45625,7449,1580,13620,,280.34,,1707,489,3559,,,,,,,
010039,01-JUL-12,30-JUN-13,Reopened,HUNTSVILLE HOSPITAL                     ,101 SIVLEY ROAD                         ,,HUNTSVILLE                              ,AL                                      ,35801-                                  ,MADISON                                 ,4933077,,,14818807,,,.1114,1338458,563220,839,306235,83320,41917,212477,49.91,5223.86,,14637,7361,44166,,,,,178,456,1562
010040,01-OCT-11,30-SEP-12,Settled,GADSDEN REGIONAL MEDICAL CENTER         ,1007 GOODYEAR AVENUE                    ,,GADSDEN                                 ,AL                                      ,35999-                                  ,ETOWAH                                  ,,,,4759657,,,.1292,,,267,97356,29728,12346,65773,,968.22,,4875,2299,12397,,,,6,,315,
010044,01-OCT-11,30-SEP-12,Reopened,MARION REGIONAL MEDICAL CENTER          ,1256 MILITARY ST SOUTH                  ,,HAMILTON                                ,AL                                      ,35570-                                  ,MARION                                  ,,,,106706,,,.0572,,,36,13176,1569,184,2656,,137.53,,436,83,831,,,,,,,
